Molecule ChEMBL ID,SMILES,Standard Type,Standard Relation,Standard Value,Standard Units,Mw,logP,HBd,HBa,Max_ring_size,ro5_ok,ro5_count,Cluster
CHEMBL1927677,Cn1c(=O)c2c(nc(NCCc3ccccc3)n2C)n(C)c1=O,IC50,'=',45200.0,nM,313.153874848,0.6252999999999995,1,7,6,True,4,307
CHEMBL1927681,Cn1c(=O)c2c(nc(NCCc3cccc(Cl)c3)n2C)n(C)c1=O,IC50,'=',5780.0,nM,347.114902496,1.2786999999999997,1,7,6,True,4,307
CHEMBL1927679,Cn1c(=O)c2c(nc(NCCCCc3ccccc3)n2C)n(C)c1=O,IC50,'=',30900.0,nM,341.18517497600004,1.4054999999999997,1,7,6,True,4,307
CHEMBL4294635,CC(C)(C)c1cc(C(=O)CNC2CCN(Cc3ccccc3)CC2)cc(C(C)(C)C)c1O,IC50,'=',104300.0,nM,436.3089785199999,5.424100000000006,2,4,6,False,3,308
CHEMBL4286736,CC(C)(C)c1cc(C(=O)CNCC2CCN(Cc3ccccc3)CC2)cc(C(C)(C)C)c1O,IC50,'=',41500.0,nM,450.3246285839999,5.671700000000007,2,4,6,False,3,308
CHEMBL3402190,Brc1cccc(COc2ccc3c(c2)OCO3)c1,IC50,'=',38400.0,nM,305.989156312,3.756800000000002,0,3,6,True,4,309
CHEMBL4564074,CCc1cc(-c2ccccc2)cc(S(=O)(=O)c2cnc(CN)s2)c1,IC50,'=',29200.0,nM,358.08096981600005,3.6640000000000015,2,4,6,True,4,310
CHEMBL363747,COc1cc(O)c2c(=O)c3cccc(O)c3oc2c1,IC50,'=',40.0,nM,258.05282342000004,2.3660000000000005,2,5,6,True,4,311
CHEMBL185138,COc1cc(O)c2c(=O)c3cccc(OC)c3oc2c1,IC50,'=',29000.0,nM,272.06847348400004,2.6690000000000014,1,5,6,True,4,311
CHEMBL186416,COc1cc(OC)c2c(=O)c3cccc(OC)c3oc2c1,IC50,'=',58000.0,nM,286.08412354800004,2.9720000000000013,0,5,6,True,4,311
CHEMBL4160325,O=Cc1cccc(OCc2cccc(F)c2)c1,IC50,'=',64200.0,nM,230.074307812,3.217200000000002,0,2,6,True,4,312
CHEMBL4169381,Cc1cccc(COc2cccc(C=O)c2)c1,IC50,'=',51600.0,nM,226.099379688,3.3865200000000018,0,2,6,True,4,312
CHEMBL4165641,O=Cc1cccc(OCc2cccc(Br)c2)c1,IC50,'=',28200.0,nM,289.994241692,3.840600000000002,0,2,6,True,4,312
CHEMBL4285166,COc1ccccc1CN[C@H]1C[C@@H]1c1ccccc1,IC50,'=',9700.0,nM,253.146664228,3.3409000000000013,1,2,6,True,4,313
CHEMBL3651119,COc1ccccc1CN[C@H]1CC1c1ccccc1,IC50,'=',27800.0,nM,253.146664228,3.3409000000000013,1,2,6,True,4,313
CHEMBL3651148,COc1ccccc1CN[C@H]1CC1c1ccc(OCc2ccccc2)cc1,IC50,'=',5900.0,nM,359.18852904000005,4.919900000000004,1,3,6,True,4,313
CHEMBL1830146,N#Cc1cccc(/C=C/C(=O)Nc2cccc(Br)c2)c1,IC50,'=',27200.0,nM,326.005475072,3.972680000000002,1,3,6,True,4,314
CHEMBL2058407,CN1C(=N)NC(=O)/C1=C\c1c[nH]c2cccc(Br)c12,IC50,'=',26167.0,nM,318.011623072,2.26767,3,5,6,True,4,315
CHEMBL2058415,C/N=C1\NC(=O)/C(=C\c2c[nH]c3cccc(Br)c23)N1C,IC50,'=',2583.0,nM,332.027273136,2.3186999999999998,2,5,6,True,4,315
CHEMBL2058419,CN1C(=N)N(C)/C(=C/c2c[nH]c3cccc(Br)c23)C1=O,IC50,'=',2067.0,nM,332.027273136,2.60987,2,5,6,True,4,315
CHEMBL4553398,C#CCN(C)CCc1nnn(-c2ccccc2)c1CC,IC50,'=',7500.0,nM,268.16879664,1.9371999999999996,0,4,6,True,4,316
CHEMBL4550073,C#CCN(C)CCc1nnn(-c2ccccc2)c1CCC,IC50,'=',26100.0,nM,282.184446704,2.3273,0,4,6,True,4,316
CHEMBL4555401,C#CCN(C)CCc1nnn(-c2ccccc2)c1CCCC,IC50,'=',17300.0,nM,296.200096768,2.7174000000000005,0,4,6,True,4,316
CHEMBL4567714,C#CCOc1ccc(-c2cc(-c3ccc(OCC#C)c(OC)c3)nc(-c3ccccc3)n2)cc1,IC50,'=',24930.0,nM,446.163042564,5.5102000000000055,0,5,6,False,3,317
CHEMBL4218657,Oc1ccccc1NC(=S)Nc1ccc2[nH]ccc2c1,IC50,'=',14000.0,nM,283.077933036,3.6824000000000012,4,4,6,True,4,318
